train_acc,train_loss,val_acc,val_loss,curr_epoch
3.0,0.2727283,3.0,0.009666697,0
3.0,0.0020538506,3.0,0.00011883185,1
3.0,3.7116864e-05,3.0,6.649438e-06,2
3.0,2.7976228e-06,3.0,9.5367415e-07,3
3.0,5.212797e-07,3.0,9.245671e-08,4
3.0,2.2142652e-09,3.0,0.0,5
3.0,0.0,3.0,0.0,6
3.0,0.0,3.0,0.0,7
3.0,0.0,3.0,0.0,8
3.0,0.0,3.0,0.0,9
