Layer,Pruned Percentage
Conv2d,8.391203703703704
Conv2d,10.300925925925926
BatchNorm2d,0.0
Conv2d,37.527126736111114
BatchNorm2d,0.0
Conv2d,30.88650173611111
Conv2d,31.354437934027782
BatchNorm2d,0.0
Conv2d,38.9404296875
BatchNorm2d,0.0
Conv2d,37.813991970486114
Conv2d,38.437906901041664
BatchNorm2d,0.0
Conv2d,44.775560167100686
BatchNorm2d,0.0
Conv2d,44.4305419921875
Conv2d,46.980200873480904
BatchNorm2d,0.0
Conv2d,53.278520372178825
BatchNorm2d,0.0
Conv2d,54.33451334635416
Conv2d,60.78559027777778
BatchNorm2d,0.0
Conv2d,72.52291573418512
BatchNorm2d,0.0
ConvTranspose2d,63.70936499701606
Conv2d,55.53900400797525
Conv2d,58.66143968370226
BatchNorm2d,0.0
Conv2d,50.27936299641928
BatchNorm2d,0.0
ConvTranspose2d,45.670149061414925
Conv2d,46.56762017144097
Conv2d,47.44381374782986
BatchNorm2d,0.0
Conv2d,38.90431722005209
BatchNorm2d,0.0
ConvTranspose2d,32.54462348090278
Conv2d,45.09819878472222
Conv2d,40.830485026041664
BatchNorm2d,0.0
Conv2d,28.72111002604167
BatchNorm2d,0.0
ConvTranspose2d,26.220703125
Conv2d,56.11213235294117
Conv2d,45.10091145833334
BatchNorm2d,0.0
Conv2d,28.32845052083333
BatchNorm2d,0.0
Conv2d,8.524816176470589
BatchNorm2d,0.0
