Layer,Pruned Percentage
Conv2d,2.1990740740740744
Conv2d,2.7199074074074074
BatchNorm2d,0.0
Conv2d,10.7421875
BatchNorm2d,0.0
Conv2d,8.938259548611109
Conv2d,9.290907118055557
BatchNorm2d,0.0
Conv2d,11.636013454861109
BatchNorm2d,0.0
Conv2d,11.383734809027779
Conv2d,11.519029405381945
BatchNorm2d,0.0
Conv2d,13.798353407118055
BatchNorm2d,0.0
Conv2d,13.648478190104164
Conv2d,14.561886257595484
BatchNorm2d,0.0
Conv2d,16.970909966362846
BatchNorm2d,0.0
Conv2d,17.296303643120662
Conv2d,19.78859371609158
BatchNorm2d,0.0
Conv2d,25.782945421006946
BatchNorm2d,0.0
ConvTranspose2d,20.935991075303818
Conv2d,17.874611748589412
Conv2d,19.094106886121963
BatchNorm2d,0.0
Conv2d,15.75563218858507
BatchNorm2d,0.0
ConvTranspose2d,14.051649305555555
Conv2d,14.456939697265625
Conv2d,14.816453721788195
BatchNorm2d,0.0
Conv2d,11.872524685329859
BatchNorm2d,0.0
ConvTranspose2d,9.796820746527779
Conv2d,14.015706380208336
Conv2d,12.660725911458336
BatchNorm2d,0.0
Conv2d,8.605278862847221
BatchNorm2d,0.0
ConvTranspose2d,7.744683159722222
Conv2d,20.986519607843142
Conv2d,13.871256510416664
BatchNorm2d,0.0
Conv2d,8.490668402777779
BatchNorm2d,0.0
Conv2d,2.34375
BatchNorm2d,0.0
