Layer,Pruned Percentage
Conv2d,6.19212962962963
Conv2d,7.233796296296298
BatchNorm2d,0.0
Conv2d,28.99576822916667
BatchNorm2d,0.0
Conv2d,23.62331814236111
Conv2d,24.00309244791667
BatchNorm2d,0.0
Conv2d,30.23342556423611
BatchNorm2d,0.0
Conv2d,29.4342041015625
Conv2d,29.868910047743054
BatchNorm2d,0.0
Conv2d,35.19507514105903
BatchNorm2d,0.0
Conv2d,34.92609659830729
Conv2d,37.052154541015625
BatchNorm2d,0.0
Conv2d,42.43303934733073
BatchNorm2d,0.0
Conv2d,43.31991407606336
Conv2d,49.041642083062065
BatchNorm2d,0.0
Conv2d,60.66852145724826
BatchNorm2d,0.0
ConvTranspose2d,51.52350531684028
Conv2d,44.51026916503906
Conv2d,47.21832275390625
BatchNorm2d,0.0
Conv2d,39.86312018500434
BatchNorm2d,0.0
ConvTranspose2d,35.90079413519965
Conv2d,36.748928493923614
Conv2d,37.524498833550346
BatchNorm2d,0.0
Conv2d,30.444505479600693
BatchNorm2d,0.0
ConvTranspose2d,25.376044379340282
Conv2d,35.696072048611114
Conv2d,32.12788899739584
BatchNorm2d,0.0
Conv2d,22.282579210069446
BatchNorm2d,0.0
ConvTranspose2d,20.34505208333333
Conv2d,47.03839869281046
Conv2d,35.536024305555564
BatchNorm2d,0.0
Conv2d,22.02962239583333
BatchNorm2d,0.0
Conv2d,6.502757352941178
BatchNorm2d,0.0
