Layer,Pruned Percentage
Conv2d,33.564814814814824
Conv2d,39.0625
BatchNorm2d,0.0
Conv2d,95.34505208333331
BatchNorm2d,0.0
Conv2d,89.5263671875
Conv2d,91.6015625
BatchNorm2d,0.0
Conv2d,95.63395182291669
BatchNorm2d,0.0
Conv2d,95.12159559461806
Conv2d,96.31144205729169
BatchNorm2d,0.0
Conv2d,97.86173502604169
BatchNorm2d,0.0
Conv2d,97.80875311957465
Conv2d,98.57669406467015
BatchNorm2d,0.0
Conv2d,99.37684800889757
BatchNorm2d,0.0
Conv2d,99.47696261935765
Conv2d,99.79027642144098
BatchNorm2d,0.0
Conv2d,99.95603561401369
BatchNorm2d,0.0
ConvTranspose2d,99.93966420491535
Conv2d,99.18848673502606
Conv2d,99.57909054226344
BatchNorm2d,0.0
Conv2d,98.96146986219618
BatchNorm2d,0.0
ConvTranspose2d,98.52828979492188
Conv2d,97.91946411132812
Conv2d,98.09053209092882
BatchNorm2d,0.0
Conv2d,94.08060709635416
BatchNorm2d,0.0
ConvTranspose2d,89.42633734809027
Conv2d,95.69430881076387
Conv2d,94.16707356770831
BatchNorm2d,0.0
Conv2d,81.8935818142361
BatchNorm2d,0.0
ConvTranspose2d,80.16899956597223
Conv2d,93.1155535130719
Conv2d,92.47097439236113
BatchNorm2d,0.0
Conv2d,85.21050347222223
BatchNorm2d,0.0
Conv2d,35.11029411764706
BatchNorm2d,100.0
