Layer,Pruned Percentage
Conv2d,6.770833333333332
Conv2d,8.564814814814815
BatchNorm2d,0.0
Conv2d,32.19672309027778
BatchNorm2d,0.0
Conv2d,26.38210720486111
Conv2d,26.7333984375
BatchNorm2d,0.0
Conv2d,33.494059244791664
BatchNorm2d,0.0
Conv2d,32.60125054253472
Conv2d,32.99933539496528
BatchNorm2d,0.0
Conv2d,38.811069064670136
BatchNorm2d,0.0
Conv2d,38.52276272243924
Conv2d,40.810987684461814
BatchNorm2d,0.0
Conv2d,46.58766852484809
BatchNorm2d,0.0
Conv2d,47.54507276746961
Conv2d,53.60234578450522
BatchNorm2d,0.0
Conv2d,65.45130411783855
BatchNorm2d,0.0
ConvTranspose2d,56.273481580946175
Conv2d,48.760244581434456
Conv2d,51.65314144558377
BatchNorm2d,0.0
Conv2d,43.82239447699653
BatchNorm2d,0.0
ConvTranspose2d,39.60596720377604
Conv2d,40.475124782986114
Conv2d,41.30664401584201
BatchNorm2d,0.0
Conv2d,33.629862467447914
BatchNorm2d,0.0
ConvTranspose2d,28.034803602430557
Conv2d,39.300198025173614
Conv2d,35.389539930555564
BatchNorm2d,0.0
Conv2d,24.688042534722218
BatchNorm2d,0.0
ConvTranspose2d,22.51383463541667
Conv2d,50.71742238562091
Conv2d,39.085557725694436
BatchNorm2d,0.0
Conv2d,24.40592447916667
BatchNorm2d,0.0
Conv2d,7.215073529411764
BatchNorm2d,0.0
