Layer,Pruned Percentage
Conv2d,5.787037037037037
Conv2d,6.712962962962963
BatchNorm2d,0.0
Conv2d,26.844618055555557
BatchNorm2d,0.0
Conv2d,21.88991970486111
Conv2d,22.15847439236111
BatchNorm2d,0.0
Conv2d,28.01920572916667
BatchNorm2d,0.0
Conv2d,27.36104329427083
Conv2d,27.7374267578125
BatchNorm2d,0.0
Conv2d,32.80622694227431
BatchNorm2d,0.0
Conv2d,32.51936170789931
Conv2d,34.527587890625
BatchNorm2d,0.0
Conv2d,39.621141221788186
BatchNorm2d,0.0
Conv2d,40.44426812065972
Conv2d,45.89309692382813
BatchNorm2d,0.0
Conv2d,57.24298689100478
BatchNorm2d,0.0
ConvTranspose2d,48.23858473036025
Conv2d,41.60823822021485
Conv2d,44.171926710340706
BatchNorm2d,0.0
Conv2d,37.168290879991325
BatchNorm2d,0.0
ConvTranspose2d,33.396996392144096
Conv2d,34.244113498263886
Conv2d,34.98204549153646
BatchNorm2d,0.0
Conv2d,28.32522922092014
BatchNorm2d,0.0
ConvTranspose2d,23.59347873263889
Conv2d,33.239407009548614
Conv2d,29.90146213107639
BatchNorm2d,0.0
Conv2d,20.684136284722218
BatchNorm2d,0.0
ConvTranspose2d,18.889702690972218
Conv2d,44.607843137254896
Conv2d,33.12310112847222
BatchNorm2d,0.0
Conv2d,20.43728298611111
BatchNorm2d,0.0
Conv2d,5.836397058823528
BatchNorm2d,0.0
