Layer,Pruned Percentage
Conv2d,12.152777777777779
Conv2d,15.104166666666664
BatchNorm2d,0.0
Conv2d,53.58344184027778
BatchNorm2d,0.0
Conv2d,44.8486328125
Conv2d,45.58783637152778
BatchNorm2d,0.0
Conv2d,54.86857096354166
BatchNorm2d,0.0
Conv2d,53.43017578125
Conv2d,54.70038519965278
BatchNorm2d,0.0
Conv2d,61.87218560112847
BatchNorm2d,0.0
Conv2d,61.57379150390625
Conv2d,64.6084255642361
BatchNorm2d,0.0
Conv2d,71.40363057454427
BatchNorm2d,0.0
Conv2d,72.58258395724827
Conv2d,78.70941162109375
BatchNorm2d,0.0
Conv2d,87.83769607543945
BatchNorm2d,0.0
ConvTranspose2d,82.06390804714626
Conv2d,73.44693077935113
Conv2d,76.64580874972874
BatchNorm2d,0.0
Conv2d,68.24357774522569
BatchNorm2d,0.0
ConvTranspose2d,63.2598876953125
Conv2d,63.809034559461814
Conv2d,64.8895263671875
BatchNorm2d,0.0
Conv2d,54.521009657118064
BatchNorm2d,0.0
ConvTranspose2d,46.40265570746528
Conv2d,61.465115017361114
Conv2d,56.70878092447917
BatchNorm2d,0.0
Conv2d,41.010877821180564
BatchNorm2d,0.0
ConvTranspose2d,37.92724609375
Conv2d,69.24274918300654
Conv2d,61.27387152777778
BatchNorm2d,0.0
Conv2d,41.281467013888886
BatchNorm2d,0.0
Conv2d,13.166360294117649
BatchNorm2d,0.0
