Layer,Pruned Percentage
Conv2d,4.62962962962963
Conv2d,5.613425925925926
BatchNorm2d,0.0
Conv2d,21.465386284722218
BatchNorm2d,0.0
Conv2d,17.44927300347222
Conv2d,17.82497829861111
BatchNorm2d,0.0
Conv2d,22.55520290798611
BatchNorm2d,0.0
Conv2d,22.12320963541667
Conv2d,22.403632269965282
BatchNorm2d,0.0
Conv2d,26.65896945529514
BatchNorm2d,0.0
Conv2d,26.425594753689236
Conv2d,28.083970811631946
BatchNorm2d,0.0
Conv2d,32.38266838921441
BatchNorm2d,0.0
Conv2d,33.05892944335937
Conv2d,37.68287234836154
BatchNorm2d,0.0
Conv2d,47.85500632392036
BatchNorm2d,0.0
ConvTranspose2d,39.666748046875
Conv2d,34.06984541151259
Conv2d,36.24312082926432
BatchNorm2d,0.0
Conv2d,30.30637105305989
BatchNorm2d,0.0
ConvTranspose2d,27.135128445095486
Conv2d,27.80125935872396
Conv2d,28.46628824869792
BatchNorm2d,0.0
Conv2d,22.96549479166667
BatchNorm2d,0.0
ConvTranspose2d,19.093492296006943
Conv2d,27.107408311631946
Conv2d,24.322509765625
BatchNorm2d,0.0
Conv2d,16.790771484375
BatchNorm2d,0.0
ConvTranspose2d,15.188259548611109
Conv2d,37.710631127450974
Conv2d,26.80257161458333
BatchNorm2d,0.0
Conv2d,16.471354166666668
BatchNorm2d,0.0
Conv2d,4.733455882352942
BatchNorm2d,0.0
