Layer,Pruned Percentage
Conv2d,21.759259259259263
Conv2d,26.27314814814815
BatchNorm2d,0.0
Conv2d,80.04014756944444
BatchNorm2d,0.0
Conv2d,70.4739040798611
Conv2d,72.39854600694444
BatchNorm2d,0.0
Conv2d,80.8871799045139
BatchNorm2d,0.0
Conv2d,80.06829155815973
Conv2d,81.90714518229167
BatchNorm2d,0.0
Conv2d,87.16837565104169
BatchNorm2d,0.0
Conv2d,86.97441948784723
Conv2d,89.41362169053819
BatchNorm2d,0.0
Conv2d,93.25527615017359
BatchNorm2d,0.0
Conv2d,93.92083485921222
Conv2d,96.33572896321613
BatchNorm2d,0.0
Conv2d,98.7595134311252
BatchNorm2d,0.0
ConvTranspose2d,97.89276123046876
Conv2d,93.6041514078776
Conv2d,95.34007178412544
BatchNorm2d,0.0
Conv2d,91.41031901041669
BatchNorm2d,0.0
ConvTranspose2d,88.78673977322048
Conv2d,88.1832546657986
Conv2d,88.86430528428819
BatchNorm2d,0.0
Conv2d,79.95758056640625
BatchNorm2d,0.0
ConvTranspose2d,71.7525906032986
Conv2d,84.90397135416667
Conv2d,81.23914930555556
BatchNorm2d,0.0
Conv2d,63.995361328125
BatchNorm2d,0.0
ConvTranspose2d,60.75846354166666
Conv2d,83.83757148692808
Conv2d,81.76405164930556
BatchNorm2d,0.0
Conv2d,65.09602864583333
BatchNorm2d,0.0
Conv2d,23.322610294117645
BatchNorm2d,0.0
