train_nme,train_loss,val_nme,val_loss,curr_epoch
0.20582900690511652,0.7516219,0.14001454959122,0.63232595,0
0.12813424724647843,0.6315835,0.13807659035887812,0.5646332,1
0.2774903952263956,0.43496618,0.34475140258032705,0.35921183,2
0.3310545288692245,0.32881972,0.33072847005621725,0.31133297,3
0.3252723540813702,0.27598575,0.32980869423558784,0.25911257,4
0.3236135479509345,0.22885862,0.32984276344602365,0.21471007,5
0.3217928654736156,0.18690428,0.33304147855967037,0.167335,6
0.3198795717897413,0.14964172,0.32898981934370514,0.13248247,7
0.31466146839514975,0.11718431,0.32779153794397986,0.10705073,8
0.3105960031416933,0.089478105,0.3214827577383038,0.07923406,9
0.308876846067655,0.06614363,0.3156924766691398,0.05714133,10
0.3079862924218876,0.046892352,0.31524996057966853,0.037965007,11
0.307622576270312,0.031648897,0.3173903890056394,0.025194276,12
0.301716949920786,0.020083426,0.3080475383599595,0.01581088,13
0.2994030942297623,0.011831048,0.3074765154465025,0.008806033,14
0.30140515735860623,0.006554011,0.32261961893752095,0.0052143866,15
0.3021818925622357,0.0035005994,0.3091232574056814,0.002571667,16
0.2986258182064624,0.0018592881,0.30814253523205387,0.0016958145,17
0.29753843492110205,0.0013143824,0.30881419385938735,0.001436374,18
0.2969547377119458,0.0011846432,0.3093952328823406,0.0013896486,19
0.2966417906640015,0.0011626107,0.31038708031878187,0.0013883243,20
0.2965543633737035,0.0011602072,0.3089376631257243,0.0013788332,21
0.29671584397962153,0.0011655131,0.3095362908279858,0.0013767111,22
0.29682822684767063,0.0011670623,0.30860622901257906,0.0013786021,23
0.29690366421124836,0.0011658478,0.3086214977645169,0.0013816772,24
0.2969704779900569,0.0011694775,0.3104586036937126,0.001386047,25
0.29749308252759826,0.0011806446,0.31082070194990774,0.0013883855,26
0.29768095303714265,0.0011862325,0.30795834646026043,0.0014324794,27
0.2970937014223758,0.0011768531,0.3086863281589104,0.0014436062,28
0.2965575009154316,0.0011669914,0.3075084159852621,0.0014138306,29
0.2964176813303565,0.0011647089,0.30707523543251514,0.0014014227,30
0.30598975120350524,0.0014255493,0.31502371199752843,0.0014320847,31
