train_nme,train_loss,val_nme,val_loss,curr_epoch
0.2446076471686098,0.83297354,0.12040966106226023,0.72481686,0
0.17320137440816452,0.64992714,0.31755964840325973,0.45806947,1
0.32247299973616683,0.44120818,0.3738763004783038,0.3653379,2
0.36127175946351414,0.3387982,0.3739344637449294,0.30187997,3
0.35770649460901033,0.28431097,0.36701758156581227,0.25388855,4
0.42966904326903205,0.21628493,0.46487470542990855,0.18346956,5
0.4580544721147576,0.16776407,0.47340691470792273,0.15462062,6
0.4606301387467089,0.13296679,0.4723502226918886,0.11735025,7
0.46043905607012786,0.10454673,0.4707922692526753,0.08560639,8
0.46746393201473346,0.07821296,0.4794004807780755,0.06256351,9
0.46692019105526594,0.057568762,0.4765177208074468,0.04561686,10
0.4659337346293419,0.04098702,0.4772544310964956,0.03246995,11
0.46626561389517923,0.027963955,0.4772319618894292,0.024238646,12
0.46383252618624904,0.018061792,0.47404831330207997,0.013378196,13
0.46237069165765726,0.0107071055,0.47396954922495504,0.007935052,14
0.4615710890527734,0.006004402,0.4757371314772073,0.0046297875,15
0.46050254250749106,0.003307409,0.47304063511331107,0.0027377887,16
0.4599594771228483,0.0020185835,0.4711201353067331,0.0019673535,17
0.459840226504165,0.0015551111,0.4713118846405203,0.0017078444,18
0.4596649259869816,0.001442587,0.47370817368732654,0.0016526382,19
0.4597201995040452,0.0014288073,0.4759991765623697,0.0016667559,20
0.46378935792280623,0.001593018,0.4714332941317631,0.0017112598,21
0.4611257060726552,0.0015647867,0.46788330911028053,0.001655958,22
0.4573422508178436,0.0014828576,0.46712387500128205,0.0016528906,23
0.4568142241714736,0.0014688682,0.4699014282204473,0.0016646349,24
0.4580371486558702,0.0014782693,0.46854445556474794,0.0016430218,25
0.4572714644273815,0.0014482265,0.46873887003219067,0.0016361221,26
0.4574534568963689,0.0014417963,0.4688399083487177,0.0016313253,27
0.45746896618505584,0.0014478654,0.46877170503780274,0.0016367396,28
0.4589070597066735,0.0014580598,0.47009107108301484,0.0016346516,29
0.4582173454180973,0.0014575695,0.4702522962435973,0.0016413056,30
