train_nme,train_loss,val_nme,val_loss,curr_epoch
0.6832636809941549,0.4207934,0.9719076828229186,0.045590762,0
0.9579952540056786,0.0037275322,0.9596020889037059,0.0028104933,1
0.9583682400950817,0.0028098633,0.9678645723092283,0.0027944956,2
0.9599886278563975,0.0027949007,0.9681687820704629,0.0027938364,3
0.9601648983037502,0.0027944637,0.9680217062394425,0.0027938182,4
0.9601779081409195,0.002794462,0.9680770867035128,0.0027939412,5
0.9602307108215926,0.0027942485,0.9680839627147558,0.0027937929,6
0.9602533624971231,0.002904244,0.9678887116429784,0.0027955996,7
0.9601393978640765,0.0027941235,0.967954610305101,0.0027943498,8
0.9600933092935425,0.002794102,0.9679356101763258,0.002794985,9
0.9600741537157538,0.0027940695,0.9679440010144763,0.0027946937,10
0.9600802153828721,0.0027940804,0.9679359272649471,0.002794409,11
0.9600923157418685,0.0027940774,0.9679786170690711,0.0027937703,12
0.9600739974794181,0.0027940834,0.9680333666391979,0.002793695,13
0.9600791173168054,0.0027940874,0.96806134490309,0.002793676,14
0.9600985345744797,0.0027940725,0.9680563331339161,0.0027937037,15
0.9600984011967629,0.0027940732,0.9680619458823894,0.0027936865,16
0.9600905359211548,0.0027940683,0.9680606147501908,0.0027936695,17
0.9600933912008186,0.0027940718,0.968135954738501,0.00279432,18
0.9600989430521905,0.0027940704,0.9680726442422929,0.0027951894,19
0.9600986887825392,0.002794068,0.9680826305087668,0.0027952273,20
0.960101275546807,0.0027940678,0.9680826305087668,0.0027952273,21
0.960101275546807,0.002794068,0.9680826305087668,0.0027952273,22
0.960101275546807,0.0027940678,0.9680826305087668,0.0027952273,23
0.960101275546807,0.002794068,0.9680826305087668,0.0027952273,24
0.960101275546807,0.002794068,0.9680827016119109,0.0027952273,25
0.960101275546807,0.002794068,0.9680826305087668,0.0027952273,26
0.960101275546807,0.002794068,0.9680826305087668,0.0027952273,27
0.960101275546807,0.002794068,0.9680827016119109,0.0027952273,28
0.960101275546807,0.0027940678,0.9680826305087668,0.0027952273,29
0.960101275546807,0.002794068,0.9680826305087668,0.0027952273,30
0.960101275546807,0.002794068,0.9680826305087668,0.0027952273,31
